list_name,name,label,governorate,district,subdistrict,community,order
community,C1025,Batbu,,,SY020001,,
community,C1029,Big Orm,,,SY020001,,
community,C6424,Halazon,,,SY020001,,
community,C1032,Jeineh,,,SY020001,,
community,C1039,Kafr Aleppo,,,SY020001,,
community,C1033,Kafr Amma,,,SY020001,,
community,C1035,Kafr Karmin,,,SY020001,,
community,C1034,Kafr Naha,,,SY020001,,
community,C1036,Kafr Naseh Elatareb,,,SY020001,,
community,C1041,Kafr Noran,,,SY020001,,
community,C1037,Kafr Taal,,,SY020001,,
community,C1027,Little Orm,,,SY020001,,
community,C1038,Maaret Atarib,,,SY020001,,
community,C6679,Mezanaz,,,SY020001,,
community,C1024,Oweijel,,,SY020001,,
community,C1019,Qanater (Atareb),,,SY020001,,
community,C1023,Sahara,,,SY020001,,
community,C1031,Sheikh Ali (Atareb),,,SY020001,,
community,C1028,Tadil,,,SY020001,,
community,C1020,Tuwama,,,SY020001,,
community,C1040,Western Kafr Jum,,,SY020001,,
community,C1043,Aabad (Tall Ed-daman),,,SY020002,,
community,C6329,Abu Elmajaher,,,SY020002,,
community,C1048,Abu Rweil,,,SY020002,,
community,C6711,Al Monbateh,,,SY020002,,
community,C1074,Andan Elsheikh,,,SY020002,,
community,C1086,Anu Mreir,,,SY020002,,
community,C1057,Arjel,,,SY020002,,
community,C6326,Bakat,,,SY020002,,
community,C1076,Ballas,,,SY020002,,
community,C1072,Batha ,,,SY020002,,
community,C1044,Batranah,,,SY020002,,
community,C1081,Big Bayaa,,,SY020002,,
community,C1082,Big Bweideh,,,SY020002,,
community,C1111,Big Madayen,,,SY020002,,
community,C1067,Big Oweinat,,,SY020002,,
community,C1063,Burda - Tall Ed-daman,,,SY020002,,
community,C1061,Deir Saliba,,,SY020002,,
community,C1090,Eastern Atshana,,,SY020002,,
community,C6330,Ein Elgharf,,,SY020002,,
community,C1045,Eliyeh (Tall Ed-daman),,,SY020002,,
community,C1051,Establat,,,SY020002,,
community,C6328,Gharirifeh,,,SY020002,,
community,C1119,Ghaytal - Ghaythal,,,SY020002,,
community,C1099,Hamidiyeh,,,SY020002,,
community,C6430,Hamidiyet Al-Shadad,,,SY020002,,
community,C1075,Hayyaniyeh,,,SY020002,,
community,C1104,Hazani,,,SY020002,,
community,C1092,Hilwiyeh,,,SY020002,,
community,C1059,Hmeidi,,,SY020002,,
community,C1115,Hober,,,SY020002,,
community,C6681,jab abyad - Tall Ed-daman,,,SY020002,,
community,C1097,Jafr Mansur Simaan,,,SY020002,,
community,C1049,Jeb Eleis,,,SY020002,,
community,C1047,Jeb Elkhafi Simaan,,,SY020002,,
community,C1106,Kafr Eibesh,,,SY020002,,
community,C1112,Kafr Obeid,,,SY020002,,
community,C1116,Kulet Elbweider,,,SY020002,,
community,C1100,Little Bweideh,,,SY020002,,
community,C1098,Littler Bayaa,,,SY020002,,
community,C1108,Majas,,,SY020002,,
community,C1080,Mansura (Tall Ed-daman),,,SY020002,,
community,C1114,Maqtal Elzaydi,,,SY020002,,
community,C1105,Marhamiya,,,SY020002,,
community,C1113,Mashrafet Arjol,,,SY020002,,
community,C1107,Mashrafet Elbuwaiditein,,,SY020002,,
community,C6327,Mashrafet Elhallaj,,,SY020002,,
community,C1117,Mashrafet Elmarij,,,SY020002,,
community,C1110,Masih,,,SY020002,,
community,C1089,Mintar (Tall Ed-daman),,,SY020002,,
community,C1118,Mreiqes,,,SY020002,,
community,C1054,Numaniyeh,,,SY020002,,
community,C1101,Nuwara,,,SY020002,,
community,C1073,Oleis,,,SY020002,,
community,C1109,Qaree Elghazal,,,SY020002,,
community,C1068,Rajm Omeirat,,,SY020002,,
community,C1042,Rasm Eljahsh,,,SY020002,,
community,C1094,Rasm Elmofakker - Hilu Mofakker,,,SY020002,,
community,C1083,Rasm Elsafa,,,SY020002,,
community,C1079,Saeebiyeh,,,SY020002,,
community,C1052,Sayah - Sayah Thahriyeh,,,SY020002,,
community,C1085,Sfira,,,SY020002,,
community,C1120,Sheikh Castle,,,SY020002,,
